refArea,Illiteracy,SchoolDropout,Observation URI,references,University,publisher,Secondary,Intermediate,Vocational,Elementary,HigherEducation,Town,dataset,Governorate,District
http://dbpedia.org/resource/Marjeyoun_District,1.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel+Selm,https://impact.cib.gov.lb/home#open_data_section,5.0,Impact Open Data,50.0,22.0,15.0,6.0,1.0,Majdel Selm,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Marjeyoun District
https://dbpedia.org/page/North_Governorate,5.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel+el-Koura,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,20.0,20.0,20.0,10.0,5.0,Majdel El-Koura,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,North Governorate,
http://dbpedia.org/resource/Matn_District,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdel+tarchich,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Majdel Tarchich,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Matn District
http://dbpedia.org/resource/Sidon_District,2.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdelyoun,https://impact.cib.gov.lb/home#open_data_section,25.0,Impact Open Data,18.0,20.0,15.0,10.0,10.0,Majdelyoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Sidon District
http://dbpedia.org/resource/Tyre_District,5.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Majdelzoun,https://impact.cib.gov.lb/home#open_data_section,20.0,Impact Open Data,20.0,15.0,25.0,10.0,5.0,Majdelzoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Tyre District
https://dbpedia.org/page/South_Governorate,,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Maknounet+Jezzine,https://impact.cib.gov.lb/home#open_data_section,,Impact Open Data,,,,,,Maknounet Jezzine,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,
http://dbpedia.org/resource/Zahl̩_District,1.0,1.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Makseh,https://impact.cib.gov.lb/home#open_data_section,12.0,Impact Open Data,15.0,39.0,10.0,20.0,3.0,Makseh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Zahl̩ District
http://dbpedia.org/resource/Tyre_District,2.0,10.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Malkiyah+Village,https://impact.cib.gov.lb/home#open_data_section,5.0,Impact Open Data,10.0,30.0,3.0,50.0,0.0,Malkiyah Village,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,South Governorate,Tyre District
http://dbpedia.org/resource/Western_Beqaa_District,6.0,5.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mansoura,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,10.0,20.0,10.0,40.0,4.0,Mansoura,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,,Western Beqaa District
https://dbpedia.org/page/Akkar_Governorate,2.0,0.0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Mansoura+,https://impact.cib.gov.lb/home#open_data_section,10.0,Impact Open Data,30.0,18.0,30.0,7.0,3.0,Mansoura,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023,Akkar Governorate,
